code,年度,総資産,純資産,株主資本,利益剰余金,短期借入金,長期借入金,BPS,自己資本比率,営業CF,投資CF,財務CF,設備投資,現金同等物,営業CFマージン,売上高,営業利益,経常利益,純利益,EPS,ROE,ROA,一株配当,剰余金の配当,自社株買い,配当性向,総還元性向,純資産配当率,name
4109,2021/03,52933000000.0,36758000000.0,36065000000.0,24719000000.0,1920000000.0,4751000000.0,2826.7,68.4,7352000000.0,-2464000000.0,-3004000000.0,-2430000000.0,15245000000.0,22.35,32893000000.0,4081000000.0,4020000000.0,2959000000.0,230.68,8.17,5.59,47.0,584000000.0,267000000.0,19.74,28.76,1.7,ステラ　ケミファ
4112,2021/03,62609000000.0,43654000000.0,32362000000.0,14119000000.0,4455000000.0,2970000000.0,4885.6,61.8,5380000000.0,-2689000000.0,-424000000.0,,9331000000.0,13.06,41199000000.0,5444000000.0,5841000000.0,3119000000.0,394.16,8.06,4.98,50.0,395000000.0,6000000.0,12.66,12.86,1.0,保土谷化学工業
4113,2021/03,27958460000.0,15237893000.0,15141294000.0,12600052000.0,,200000000.0,1063.44,54.5,5218856000.0,-2094972000.0,-680449000.0,-2058631000.0,4330354000.0,16.28,32057443000.0,4015522000.0,4062590000.0,2615407000.0,182.52,17.16,9.35,32.0,372579000.0,4991000.0,14.25,14.44,3.3,田岡化学工業
4114,2021/03,471617000000.0,323725000000.0,317373000000.0,267729000000.0,23981000000.0,28887000000.0,7959.06,67.3,35277000000.0,-30623000000.0,-12750000000.0,-29658000000.0,36341000000.0,12.91,273163000000.0,-15921000000.0,,-10899000000.0,-273.32,,,90.0,5383000000.0,6000000.0,,,1.1,日本触媒
4115,2021/03,31271000000.0,23378000000.0,21334000000.0,18835000000.0,1000000000.0,,1865.07,68.5,3779000000.0,-1551000000.0,-998000000.0,-1544000000.0,9796000000.0,18.45,20478000000.0,3468000000.0,3415000000.0,2063000000.0,179.75,9.64,6.6,12.0,367000000.0,,17.79,,0.7,本州化学工業
4116,2021/03,197717000000.0,103660000000.0,95875000000.0,76392000000.0,12610000000.0,20783000000.0,5516.0,51.5,11522000000.0,-3769000000.0,-358000000.0,-7260000000.0,34438000000.0,8.32,138491000000.0,4920000000.0,5613000000.0,6343000000.0,341.94,6.22,3.21,45.0,928000000.0,220000000.0,14.63,18.1,0.9,大日精化工業
4118,2021/03,667429000000.0,381040000000.0,342159000000.0,289544000000.0,84181000000.0,25161000000.0,5473.84,53.5,74040000000.0,-43229000000.0,-21903000000.0,-42396000000.0,46360000000.0,12.82,577426000000.0,27544000000.0,22066000000.0,15831000000.0,242.68,4.43,2.37,100.0,6523000000.0,3000000.0,41.2,41.22,1.9,カネカ
4119,2021/03,32341265000.0,13793530000.0,12033240000.0,9536380000.0,3432967000.0,6502839000.0,8231.37,40.0,1761667000.0,-721521000.0,2342975000.0,-889799000.0,5411110000.0,5.85,30117012000.0,264064000.0,307271000.0,-116830000.0,-74.42,,,50.0,125596000.0,39000.0,,,0.6,日本ピグメント
4120,2021/03,11599183000.0,6007868000.0,5395582000.0,874379000.0,1400000000.0,1011829000.0,4386.56,51.8,245248000.0,-634301000.0,599006000.0,-634192000.0,791074000.0,4.08,6008081000.0,500291000.0,532516000.0,317903000.0,232.1,5.29,2.74,30.0,41090000.0,107000.0,12.93,12.96,0.7,スガイ化学工業
4124,2021/09,2024000000.0,1743000000.0,1743807000.0,1111199000.0,,,1650.72,86.1,174000000.0,-316000000.0,-26000000.0,-228248000.0,715460000.0,14.31,1216000000.0,117000000.0,126000000.0,80000000.0,75.87,4.59,3.95,25.0,26279000.0,,32.85,32.85,1.5,大阪油化工業
4182,2021/03,836364000000.0,581411000000.0,514499000000.0,459790000000.0,40087000000.0,36202000000.0,2520.34,62.7,55464000000.0,-40370000000.0,5154000000.0,,91075000000.0,9.31,595718000000.0,44510000000.0,50240000000.0,36070000000.0,173.41,6.88,4.31,70.0,14559000000.0,4000000.0,40.36,40.37,2.9,三菱瓦斯化学
4183,2021/03,1558125000000.0,682157000000.0,607921000000.0,424084000000.0,216721000000.0,293495000000.0,3102.52,39.0,174323000000.0,-77555000000.0,-68956000000.0,-74904000000.0,195987000000.0,14.39,1211725000000.0,78074000000.0,75444000000.0,57873000000.0,298.0,9.52,3.71,100.0,19349000000.0,691000000.0,33.43,34.63,3.4,三井化学
4185,2021/03,672773000000.0,370736000000.0,333995000000.0,302916000000.0,37872000000.0,81406000000.0,1554.17,49.6,70403000000.0,-52687000000.0,4297000000.0,-55205000000.0,85377000000.0,22.57,312000000000.0,-61633000000.0,,-55155000000.0,-256.73,,,60.0,12887000000.0,3000000.0,,,3.5,ＪＳＲ
4186,2020/12,201185000000.0,159994000000.0,141166000000.0,125795000000.0,,10962000000.0,3651.17,75.3,22953000000.0,-3481000000.0,-5937000000.0,-6008000000.0,42728000000.0,19.52,117585000000.0,15589000000.0,16129000000.0,9926000000.0,239.41,6.55,4.93,154.0,5007000000.0,2000000.0,50.44,50.46,4.3,東京応化工業
4187,2020/11,45324390000.0,35025273000.0,32742680000.0,26068688000.0,,2029377000.0,1564.57,76.5,4799411000.0,-3976568000.0,-648195000.0,-4389698000.0,6511760000.0,16.73,28681191000.0,4442353000.0,4612524000.0,3313545000.0,149.59,9.56,7.31,46.0,996749000.0,295000.0,30.08,30.09,3.0,大阪有機化学工業
4188,2021/03,5287228000000.0,1571148000000.0,1236339000000.0,1060069000000.0,653475000000.0,1696029000000.0,870.4,23.4,467133000000.0,-217010000000.0,-142773000000.0,-246410000000.0,349577000000.0,14.34,3257535000000.0,47518000000.0,,-7557000000.0,-5.32,,,24.0,34091000000.0,20000000.0,,,2.8,三菱ケミカルホールディングス
4189,2020/12,95508000000.0,45884000000.0,42305000000.0,27379000000.0,10550000000.0,3250000000.0,1168.58,45.4,6931000000.0,-11182000000.0,-4530000000.0,-11132000000.0,9066000000.0,8.96,77332000000.0,5642000000.0,5627000000.0,4046000000.0,109.12,9.33,4.24,60.0,2224000000.0,38000000.0,54.97,55.91,5.3,ＫＨネオケム
4202,2021/03,640385000000.0,245000000000.0,187645000000.0,152816000000.0,7024000000.0,115568000000.0,789.33,37.1,57869000000.0,-34220000000.0,-17050000000.0,-36789000000.0,90747000000.0,14.7,393568000000.0,31723000000.0,34683000000.0,19713000000.0,65.18,8.29,3.08,32.0,10415000000.0,8286000000.0,52.83,94.87,3.3,ダイセル
4203,2021/03,345763000000.0,202141000000.0,200205000000.0,124052000000.0,46358000000.0,25507000000.0,4254.48,57.9,27405000000.0,-14993000000.0,21768000000.0,-8956000000.0,103175000000.0,13.11,209002000000.0,19914000000.0,,13198000000.0,280.46,6.59,3.82,75.0,2824000000.0,5000000.0,21.4,21.44,1.9,住友ベークライト
4204,2021/03,1150143000000.0,694392000000.0,606696000000.0,441087000000.0,7278000000.0,71207000000.0,1485.89,58.0,75271000000.0,-58495000000.0,-19157000000.0,-62067000000.0,76649000000.0,7.12,1056560000000.0,67300000000.0,62649000000.0,41544000000.0,91.92,6.23,3.61,47.0,20953000000.0,12202000000.0,50.44,79.81,3.3,積水化学工業
4205,2021/03,448821000000.0,298246000000.0,270644000000.0,244301000000.0,8960000000.0,,1349.88,65.8,56080000000.0,-30239000000.0,-8259000000.0,-24033000000.0,48152000000.0,18.57,301961000000.0,33408000000.0,38668000000.0,27716000000.0,126.74,9.39,6.18,22.0,4592000000.0,1000000.0,16.57,16.57,1.7,日本ゼオン
4206,2021/03,207363000000.0,150505000000.0,131724000000.0,110563000000.0,6015000000.0,1255000000.0,2064.21,65.0,19713000000.0,-9756000000.0,-9179000000.0,-6866000000.0,41185000000.0,11.29,174628000000.0,17991000000.0,18438000000.0,10759000000.0,164.78,7.98,5.19,107.0,6921000000.0,2000000.0,64.33,64.35,5.3,アイカ工業
4208,2021/03,769710000000.0,380635000000.0,346520000000.0,259806000000.0,38031000000.0,101245000000.0,3549.52,46.6,66054000000.0,-39433000000.0,10852000000.0,,79646000000.0,10.76,613889000000.0,25902000000.0,23293000000.0,22936000000.0,226.79,6.39,2.98,90.0,9110000000.0,5000000.0,39.72,39.74,2.6,宇部興産
4212,2021/03,138555000000.0,108711000000.0,101715000000.0,81263000000.0,1000000000.0,,2494.49,77.4,9286000000.0,-538000000.0,-3377000000.0,-741000000.0,47286000000.0,14.34,64735000000.0,10669000000.0,11259000000.0,7546000000.0,174.12,7.04,5.45,56.0,2215000000.0,804000000.0,29.35,40.01,2.3,積水樹脂
